"tourney_id","tourney_name","winner_ioc","winner_age","score","minutes"
"2010-580","Australian Open","BEL",29.5,"6-2 7-6(5)",111
"2010-580","Australian Open","AUT",23.5,"6-2 6-7(3) 6-3",134
"2010-580","Australian Open","RSA",29.62,"3-6 6-3 6-2",96
"2010-580","Australian Open","NED",22.42,"6-2 6-2",74
"2010-580","Australian Open","ESP",24.22,"6-0 6-4",56
"2010-580","Australian Open","AUS",22.15,"6-2 6-1",52
"2010-580","Australian Open","POL",25.92,"6-3 6-4",81
"2010-580","Australian Open","ISR",31.76,"6-4 6-7(8) 6-4",165
"2010-580","Australian Open","BEL",25.85,"6-1 6-2",60
"2010-580","Australian Open","RSA",25.98,"6-3 4-6 6-0",112
"2010-580","Australian Open","FRA",29.82,"6-2 6-3",68
"2010-580","Australian Open","SLO",23.3,"7-6(4) 6-4",85
"2010-580","Australian Open","ESP",30.04,"6-1 6-4",69
"2010-580","Australian Open","GBR",19.66,"7-5 6-1",86
"2010-580","Australian Open","GER",25.59,"7-6(5) 6-7(4) 8-6",170
"2010-580","Australian Open","CRO",21.92,"6-4 6-3",88
"2010-580","Australian Open","USA",31.48,"6-4 6-4",74
"2010-580","Australian Open","NZL",25.68,"6-4 6-4",92
"2010-580","Australian Open","IRL",25.03,"7-6(6) 6-3",112
"2010-580","Australian Open","USA",29.05,"6-3 2-6 13-11",142
"2010-580","Australian Open","ESP",21.76,"6-4 6-4",74
"2010-580","Australian Open","FRA",21.92,"6-1 6-1",58
"2010-580","Australian Open","FRA",19.65,"7-6(4) 6-4",108
"2010-580","Australian Open","GER",25.11,"7-5 7-6(2)",86
"2010-580","Australian Open","GER",22.8,"6-4 3-6 7-5",145
"2010-580","Australian Open","BRA",24.71,"6-4 6-4",90
"2010-580","Australian Open","IRL",28.33,"6-4 6-4",70
"2010-580","Australian Open","USA",27.26,"6-3 6-2",65
"2010-580","Australian Open","GER",30.29,"4-6 7-5 6-4",134
"2010-580","Australian Open","USA",20.49,"7-5 6-0",67
"2010-580","Australian Open","PAR",33.18,"7-6(8) 6-4",93
"2010-580","Australian Open","JPN",33.33,"7-5 6-4",87
"2010-580","Australian Open","UKR",22.36,"6-7(9) 6-2 6-2",158
"2010-580","Australian Open","GBR",22.94,"6-4 6-4",69
